valuationDate,sectorCategory,DENOM_CURR_CDE,spread
4/19/2006,Credit_glagg _crd>5.0YRS,GBP,92
4/19/2006,Credit_glagg_crd_exJPY_aa_3,USD,58
4/19/2006,Credit_glagg_crd_exJPY_aa_3,EUR,30
4/19/2006,Credit_glagg_crd_exJPY_aa_3,GBP,52
4/19/2006,Credit_glagg_crd_exJPY_exBBB,USD,69
4/19/2006,Credit_glagg_crd_exJPY_exBBB,EUR,38
4/19/2006,Credit_glagg_crd_exJPY_exBBB,GBP,68
4/19/2006,Credit_Global Agg (Original),USD,60
4/19/2006,Credit_Global Agg (Original),EUR,19
4/19/2006,Credit_Global Agg (Original),GBP,30
4/20/2006,Agency,USD,34
4/20/2006,Agency,EUR,21
4/20/2006,Agency,GBP,18
4/20/2006,ABS,USD,45
4/20/2006,CMBS,USD,66
4/20/2006,MBS,USD,93
4/20/2006,Credit_AAA-BBB,USD,82
4/20/2006,Credit_AAA-BBB,EUR,42
4/20/2006,Credit_AAA-BBB,GBP,72
4/20/2006,Credit_AAA-A,USD,68
4/20/2006,Credit_AAA-A,EUR,34
4/20/2006,Credit_AAA-A,GBP,67
4/20/2006,Credit_AAA-AA,USD,56
4/20/2006,Credit_AAA-AA,EUR,25
4/20/2006,Credit_AAA-AA,GBP,52
4/20/2006,Credit_US CORP 1-10,USD,79
4/20/2006,Credit_glagg_crd_1_5YRS,USD,56
4/20/2006,Credit_glagg_crd_1_5YRS,EUR,30
4/20/2006,Credit_glagg_crd_1_5YRS,GBP,42
4/20/2006,Credit_glagg_crd_1_3YRS,USD,46
4/20/2006,Credit_glagg_crd_1_3YRS,EUR,25
4/20/2006,Credit_glagg_crd_1_3YRS,GBP,32
4/20/2006,Credit_glagg _crd>5.0YRS,USD,100
4/20/2006,Credit_glagg _crd>5.0YRS,EUR,61
4/20/2006,Credit_glagg _crd>5.0YRS,GBP,91
4/20/2006,Credit_glagg_crd_exJPY_aa_3,USD,57
4/20/2006,Credit_glagg_crd_exJPY_aa_3,EUR,30
4/20/2006,Credit_glagg_crd_exJPY_aa_3,GBP,51
4/20/2006,Credit_glagg_crd_exJPY_exBBB,USD,69
4/20/2006,Credit_glagg_crd_exJPY_exBBB,EUR,38
4/20/2006,Credit_glagg_crd_exJPY_exBBB,GBP,67
4/20/2006,Credit_Global Agg (Original),USD,60
4/20/2006,Credit_Global Agg (Original),EUR,19
4/20/2006,Credit_Global Agg (Original),GBP,30
4/21/2006,Agency,USD,34
4/21/2006,Agency,EUR,21
4/21/2006,Agency,GBP,18
4/21/2006,ABS,USD,44
4/21/2006,CMBS,USD,66
4/21/2006,MBS,USD,92
4/21/2006,Credit_AAA-BBB,USD,82
4/21/2006,Credit_AAA-BBB,EUR,42
4/21/2006,Credit_AAA-BBB,GBP,72
4/21/2006,Credit_AAA-A,USD,68
4/21/2006,Credit_AAA-A,EUR,34
4/21/2006,Credit_AAA-A,GBP,67
4/21/2006,Credit_AAA-AA,USD,55
4/21/2006,Credit_AAA-AA,EUR,25
4/21/2006,Credit_AAA-AA,GBP,53
4/21/2006,Credit_US CORP 1-10,USD,79
4/21/2006,Credit_glagg_crd_1_5YRS,USD,56
4/21/2006,Credit_glagg_crd_1_5YRS,EUR,31
4/21/2006,Credit_glagg_crd_1_5YRS,GBP,42
4/21/2006,Credit_glagg_crd_1_3YRS,USD,46
4/21/2006,Credit_glagg_crd_1_3YRS,EUR,25
4/21/2006,Credit_glagg_crd_1_3YRS,GBP,33
4/21/2006,Credit_glagg _crd>5.0YRS,USD,100
4/21/2006,Credit_glagg _crd>5.0YRS,EUR,62
4/21/2006,Credit_glagg _crd>5.0YRS,GBP,91
4/21/2006,Credit_glagg_crd_exJPY_aa_3,USD,57
4/21/2006,Credit_glagg_crd_exJPY_aa_3,EUR,30
4/21/2006,Credit_glagg_crd_exJPY_aa_3,GBP,52
4/21/2006,Credit_glagg_crd_exJPY_exBBB,USD,68
4/21/2006,Credit_glagg_crd_exJPY_exBBB,EUR,38
4/21/2006,Credit_glagg_crd_exJPY_exBBB,GBP,67
4/21/2006,Credit_Global Agg (Original),USD,59
4/21/2006,Credit_Global Agg (Original),EUR,19
4/21/2006,Credit_Global Agg (Original),GBP,30
4/24/2006,Agency,USD,34
4/24/2006,Agency,EUR,21
4/24/2006,Agency,GBP,18
4/24/2006,ABS,USD,45
4/24/2006,CMBS,USD,65
4/24/2006,MBS,USD,92
4/24/2006,Credit_AAA-BBB,USD,81
4/24/2006,Credit_AAA-BBB,EUR,41
4/24/2006,Credit_AAA-BBB,GBP,72
4/24/2006,Credit_AAA-A,USD,67
4/24/2006,Credit_AAA-A,EUR,34
4/24/2006,Credit_AAA-A,GBP,67
4/24/2006,Credit_AAA-AA,USD,55
4/24/2006,Credit_AAA-AA,EUR,25
4/24/2006,Credit_AAA-AA,GBP,52
4/24/2006,Credit_US CORP 1-10,USD,78
4/24/2006,Credit_glagg_crd_1_5YRS,USD,56
4/24/2006,Credit_glagg_crd_1_5YRS,EUR,30
4/24/2006,Credit_glagg_crd_1_5YRS,GBP,42
