Date, tu.1c_pvbp:internal ,fv.1c_pvbp:internal,ty.1c_pvbp:internal,us.1c_pvbp:internal
2007-09-07, 2.0112 , 4.4059 ,6.6893, 11.72 
2007-09-10, 2.0121 , 4.4130 ,6.6947, 11.82 
2007-09-11, 2.0031 , 4.3924 ,6.6636, 11.75 
2007-09-12, 2.0015 , 4.3841 ,6.6425, 11.72 
2007-09-13, 1.9936 , 4.3793 ,6.6064, 11.65 
2007-09-14, 1.9874 , 4.3747 ,6.6036, 11.64 
2007-09-17, 1.9838 , 4.3705 ,6.5947, 11.61 
2007-09-18, 1.9843 , 4.3708 ,6.5956, 11.54 
2007-09-19, 1.9802 , 4.3556 ,6.5818, 11.42 
2007-09-20, 1.9743 , 4.3430 ,6.5385, 11.28 
2007-09-21, 1.9678 , 4.3321 ,6.5492, 11.29 
2007-09-24, 1.9642 , 4.3305 ,6.5507, 11.30 
2007-09-25, 1.9637 , 4.3373 ,6.5807, 11.32 
2007-09-26, 1.9605 , 4.3333 ,6.613, 11.31 
2007-09-27, 1.9589 , 4.3341 ,6.6454, 11.37 
2007-09-28, 1.9499 , 4.3321 ,6.6109, 11.34 
2007-10-01, 1.9447 , 4.3200 ,6.6516, 11.37 
2007-10-02, 1.9491 , 4.3241 ,6.6656, 11.41 
2007-10-03, 1.9451 , 4.3077 ,6.6501, 11.38 
2007-10-04, 1.9426 , 4.3116 ,6.6518, 11.39 
2007-10-05, 1.9317 , 4.2750 ,6.5651, 11.25 
2007-10-09, 1.9225 , 4.2571 ,6.4951, 11.21 
2007-10-10, 1.9325 , 4.2561 ,6.4843, 11.19 
2007-10-11, 1.9271 , 4.2520 ,6.482, 11.16 
2007-10-12, 1.9265 , 4.2337 ,6.4411, 11.12 
2007-10-15, 1.9248 , 4.2348 ,6.4604, 11.12 
2007-10-16, 1.9255 , 4.2419 ,6.4773, 11.12 
2007-10-17, 1.9295 , 4.2658 ,6.5279, 11.27 
2007-10-18, 1.9293 , 4.2711 ,6.5301, 11.33 
2007-10-19, 1.9226 , 4.2773 ,6.5587, 11.45 
