,zScore,residual,sd,r2Adj,r2,alpha.pVal,beta.pVal,alpha,beta,slope,hedgeY,hedgeX,dailyTri,tri,alpha.factorRank,beta.factorRank
2003-10-02,2.470318994,0.105136422,0.042559856,-0.123891681,0.000985173,0.564172515,0.931407527,-4.402134327,-0.093920614,-5.88E-07,1,0.00026477,0.288962395,0.316727311,1,7
2003-10-03,1.320502614,0.064259747,0.048663097,0.058414344,0.163034973,0.108842238,0.247202829,-16.35301241,1.634830157,1.06E-05,1,-0.004756219,-0.003539214,0.313188096,1,10
2003-10-06,0.502898949,0.022019497,0.043785131,0.337424056,0.411043605,0.015869543,0.045749863,-22.36030724,2.504284194,1.67E-05,1,-0.007513716,-0.049045695,0.264142402,1,10
2003-10-07,-0.682067698,-0.022062599,0.032346641,0.645812761,0.685166898,0.000828348,0.00311115,-25.5039723,2.959439659,2.02E-05,1,-0.009104759,-0.078717833,0.185424569,1,10
2003-10-08,-1.084669632,-0.035712428,0.032924706,0.588176585,0.633934742,0.001392242,0.005853728,-22.65079708,2.547315901,1.71E-05,1,-0.007699308,-0.098868129,0.08655644,1,8
2003-10-09,-1.511148574,-0.060492456,0.04003078,0.312670922,0.38904082,0.013750753,0.053972317,-17.76665897,1.841585255,1.22E-05,1,-0.005509175,-0.123732689,-0.037176249,1,9
2003-10-10,-1.089747278,-0.047458442,0.043549953,0.055893515,0.160794235,0.085002374,0.250788218,-13.52575276,1.229247556,8.07E-06,1,-0.003632066,-0.018769487,-0.055945736,1,8
2003-10-14,-1.280204114,-0.060786871,0.047482171,-0.122294264,0.002405098,0.60979959,0.892978699,-3.966334766,-0.149522214,-9.54E-07,1,0.000429224,-0.122309227,-0.178254964,1,10
2003-10-15,-1.155105422,-0.054446952,0.047135916,0.225665464,0.311702635,0.183849969,0.093478863,16.2404436,-3.06113483,-1.88E-05,1,0.008476639,-0.097663594,-0.275918558,1,9
2003-10-16,-1.105450748,-0.039881372,0.036077023,0.701990549,0.73510271,0.003098271,0.001518283,39.09443025,-6.351849309,-3.71E-05,1,0.016713474,-0.056102236,-0.332020794,1,10
2003-10-17,-1.350354665,-0.047716156,0.035336017,0.684265087,0.719346744,0.003316532,0.001928847,51.62480809,-8.155721301,-5.14E-05,1,0.0231488,-0.030703269,-0.362724063,1,7
2003-10-20,-0.88842754,-0.033281583,0.037461224,0.599458841,0.643963415,0.008397813,0.00520771,53.09798768,-8.368364883,-5.01E-05,1,0.022546505,0.077691891,-0.285032172,1,7
2003-10-21,0.624236912,0.022059054,0.035337631,0.484244929,0.541551048,0.025125559,0.015252561,42.67017263,-6.867999258,-4.08E-05,1,0.018352372,0.096548081,-0.188484091,1,7
2003-10-22,-0.844989097,-0.022165003,0.026231112,0.551266616,0.601125881,0.018817139,0.008414994,27.75019211,-4.722624561,-3.05E-05,1,0.013707127,-0.167896494,-0.356380585,1,1
2003-10-23,0.282783821,0.006932277,0.024514405,0.531746111,0.583774321,0.024080561,0.01008512,24.51189024,-4.256915531,-2.68E-05,1,0.012053531,-0.005714804,-0.362095389,1,2
2003-10-24,-0.443653027,-0.010570827,0.023826789,0.557646235,0.606796654,0.022359992,0.007919202,20.74727551,-3.715644363,-2.37E-05,1,0.010675137,-0.012103397,-0.374198786,1,1
2003-10-27,-0.735997388,-0.017185411,0.023349826,0.535110349,0.586764755,0.030835162,0.009780134,17.58599322,-3.261281249,-2.04E-05,1,0.009194426,-0.06375844,-0.437957226,1,3
2003-10-28,1.215169774,0.02664297,0.021925307,0.590103742,0.635647771,0.018116567,0.005739178,19.37645523,-3.519143093,-2.06E-05,1,0.009280247,0.103406067,-0.334551159,1,9
2003-10-29,0.485837219,0.010800302,0.02223029,0.547929191,0.598159281,0.028196122,0.008683889,17.44015226,-3.240113385,-1.90E-05,1,0.008532318,-0.033916605,-0.368467764,1,9
2003-10-30,-0.811749538,-0.015106171,0.018609399,0.524197114,0.577064102,0.041939548,0.010796776,13.83932394,-2.721412084,-1.61E-05,1,0.007243949,-0.02984212,-0.398309884,1,9
2003-10-31,-0.264811027,-0.004841992,0.018284707,0.602434123,0.646608109,0.021840722,0.005046993,14.58025915,-2.827980098,-1.65E-05,1,0.007424012,0.002172609,-0.396137275,1,10
2003-11-03,-1.007640621,-0.016475264,0.016350337,0.775112848,0.80010031,0.002503495,0.000476634,16.56580732,-3.113578222,-1.76E-05,1,0.007901893,-0.072113582,-0.468250857,1,10
2003-11-04,-1.545866493,-0.027177018,0.017580443,0.81346363,0.834189893,0.000995578,0.000222003,19.72019005,-3.568337052,-2.04E-05,1,0.009164433,-0.028356536,-0.496607393,1,9
2003-11-05,-1.333834087,-0.027283077,0.020454626,0.763038442,0.789367504,0.002213714,0.000590609,21.42069706,-3.813409958,-2.18E-05,1,0.009808294,0.00937632,-0.487231073,1,8
2003-11-06,1.271788995,0.027823872,0.021877743,0.634058938,0.674719056,0.01468239,0.003565653,16.21102719,-3.064008796,-1.72E-05,1,0.00773112,0.163903469,-0.323327604,1,9
