Date,fncl_4.5_1n_spread_duration:jpmorgan,fncl_5.0_1n_spread_duration:jpmorgan,fncl_5.5_1n_spread_duration:jpmorgan,fncl_6.0_1n_spread_duration:jpmorgan,fncl_6.5_1n_spread_duration:jpmorgan,fncl_7.0_1n_spread_duration:jpmorgan,fncl_7.5_1n_spread_duration:jpmorgan,fncl_8.0_1n_spread_duration:jpmorgan,fncl_8.5_1n_spread_duration:jpmorgan
2004-10-01 15:00:00,5.8369,5.62916,4.94143,4.09492,3.0276,2.9151,2.64845,2.20827,2.28991
2004-10-04 15:00:00,5.82336,5.60814,4.90716,4.0581,2.99293,2.88849,2.62706,2.19106,2.27615
2004-10-05 15:00:00,5.82928,5.6126,4.90492,4.05188,2.98594,2.8833,2.62303,2.18681,2.27275
2004-10-06 15:00:00,5.86061,5.65974,4.9708,4.11324,3.03525,2.91736,2.64731,2.20457,2.28495
2004-10-07 15:00:00,5.8632,5.66848,4.98919,4.13415,3.05987,2.93689,2.6629,2.2177,2.2955
2004-10-08 15:00:00,5.73724,5.47842,4.73618,3.92678,2.93324,2.85679,2.60969,2.1805,2.2699
2004-10-12 15:00:00,5.7022,5.43061,4.6741,3.87185,2.89235,2.82992,2.59129,2.1668,2.26109
2004-10-13 15:00:00,5.67909,5.39359,4.6253,3.82907,2.85876,2.80705,2.57475,2.15535,2.2533
2004-10-14 15:00:00,5.60839,5.29179,4.49937,3.72343,2.7786,2.75443,2.53937,2.12973,2.23569
2004-10-15 15:00:00,5.64017,5.3436,4.57174,3.78909,2.83165,2.7874,2.5614,2.14564,2.24596
2004-10-18 15:00:00,5.63678,5.33813,4.566,3.78466,2.82732,2.78363,2.5586,2.14342,2.24422
2004-10-19 15:00:00,5.62137,5.31529,4.54049,3.76188,2.80776,2.76711,2.54702,2.13398,2.23642
2004-10-20 15:00:00,5.54907,5.21233,4.41814,3.65887,2.73225,2.71901,2.51557,2.11289,2.22276
2004-10-21 15:00:00,5.54505,5.20855,4.4189,3.66021,2.73178,2.71698,2.51285,2.11017,2.21954
2004-10-22 15:00:00,5.52955,5.18299,4.38606,3.63146,2.70943,2.70215,2.50183,2.1023,2.21413
2004-10-25 15:00:00,5.52387,5.17083,4.36633,3.61199,2.69404,2.69124,2.49436,2.09619,2.20982
2004-10-26 15:00:00,5.55168,5.21477,4.42439,3.66714,2.73644,2.71894,2.51341,2.10971,2.21982
2004-10-27 15:00:00,5.64683,5.35277,4.59618,3.81778,2.85087,2.79651,2.56607,2.14728,2.2455
2004-10-28 15:00:00,5.65087,5.35178,4.58736,3.80727,2.84088,2.78932,2.56065,2.14252,2.24174
2004-10-29 15:00:00,5.59961,5.26623,4.46861,3.69591,2.75054,2.72344,2.51333,2.10697,2.21514
2004-11-01 15:00:00,5.6662,5.42672,4.60226,3.7344,2.75852,2.72603,2.51146,2.10031,2.18284
2004-11-02 15:00:00,5.66001,5.41226,4.57514,3.70677,2.73601,2.70879,2.49858,2.09032,2.17514
2004-11-03 15:00:00,5.66093,5.40972,4.56838,3.69883,2.72949,2.70375,2.49354,2.08587,2.17156
2004-11-04 15:00:00,5.64037,5.38293,4.5399,3.67595,2.7121,2.69094,2.48429,2.07931,2.16624
2004-11-05 15:00:00,5.72169,5.50146,4.70118,3.81712,2.81434,2.75442,2.52442,2.10656,2.18274
2004-11-08 15:00:00,5.73679,5.52501,4.73454,3.8485,2.8398,2.77239,2.53656,2.11572,2.18944
2004-11-09 15:00:00,5.71627,5.49678,4.71805,3.88124,2.89568,2.81964,2.57122,2.14485,2.21183
2004-11-10 15:00:00,5.74502,5.54076,4.77811,3.93447,2.93761,2.84878,2.59048,2.15828,2.22073
2004-11-12 15:00:00,5.68573,5.45409,4.66485,3.83051,2.8564,2.79222,2.55065,2.12907,2.1988
2004-11-15 15:00:00,5.65665,5.41495,4.62626,3.8022,2.83807,2.78081,2.54355,2.12528,2.19613
2004-11-16 15:00:00,5.66053,5.42181,4.63926,3.81869,2.84986,2.78641,2.54813,2.12778,2.19724
2004-11-17 15:00:00,5.61376,5.34263,4.52483,3.71099,2.76549,2.72587,2.50581,2.0962,2.17521
2004-11-18 15:00:00,5.551,5.25476,4.42215,3.62625,2.70002,2.6798,2.47323,2.07347,2.15777
